# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 2436179948 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.954401
# Diagonal elements of inverse mass matrix:
# 0.460874
-6.98167,1,0.954401,2,7,0,7.31609,0.171665
-7.23055,0.954273,0.954401,2,3,0,7.52201,0.142339
-7.23055,0.97308,0.954401,1,1,0,7.42555,0.142339
-7.1552,1,0.954401,1,1,0,7.2716,0.149875
-7.20669,0.991887,0.954401,1,1,0,7.26626,0.144633
-6.74851,0.994879,0.954401,1,3,0,7.27937,0.246094
-7.07908,0.836803,0.954401,2,3,0,7.79342,0.158506
-7.28537,0.967486,0.954401,1,1,0,7.3013,0.137351
-8.03036,0.814943,0.954401,1,3,0,9.66176,0.474799
-7.31462,0.695007,0.954401,1,3,0,9.88098,0.134836
-7.04947,1,0.954401,1,1,0,7.27809,0.162212
-6.86293,0.911621,0.954401,2,3,0,8.05043,0.312854
-6.7551,0.992619,0.954401,2,3,0,6.91291,0.265062
-7.27795,0.922324,0.954401,2,3,0,7.28982,0.138005
-7.08474,1,0.954401,1,1,0,7.26554,0.157822
-6.75323,1,0.954401,2,3,0,7.05897,0.237384
-6.75413,0.998304,0.954401,1,3,0,6.76764,0.263987
-6.7502,1,0.954401,1,1,0,6.75322,0.258319
-6.75029,0.99998,0.954401,1,1,0,6.75079,0.258479
-7.03948,0.957984,0.954401,2,3,0,7.05306,0.163514
-6.74995,0.991325,0.954401,1,3,0,7.11717,0.257813
-7.62593,0.822029,0.954401,1,3,0,7.75426,0.433928
-6.92753,1,0.954401,2,3,0,7.42322,0.329362
-6.7751,1,0.954401,2,3,0,6.89377,0.221691
-6.77584,0.999947,0.954401,2,3,0,6.78169,0.221318
-6.76341,1,0.954401,1,1,0,6.77425,0.228511
